Key,File,Type,UsedInMainMenu,NoTranslate,english
quest_ApexBloodlines_Group,quests,Quest,false,false,ApexOrder Bloodlines
ApexBloodlinesResourceStick,items,Item,false,false,Stick
ApexBloodlinesResourceStickDesc,items,Item,false,false,"A dry length of wood collected from bushes or trees."
ApexBloodlinesResourceRope,items,Item,false,false,Fibre Rope
ApexBloodlinesResourceRopeDesc,items,Item,false,false,"Plant fibres twisted into a crude binding material."
ApexBloodlinesResourceBranch,items,Item,false,false,Branch
ApexBloodlinesResourceBranchDesc,items,Item,false,false,"A sturdy branch suitable for primitive construction."
ApexBloodlinesResourceBark,items,Item,false,false,Tree Bark
ApexBloodlinesResourceBarkDesc,items,Item,false,false,"Thick bark suitable for crude protective armour."
ApexBloodlinesResourceSharpStone,items,Item,false,false,Sharp Stone
ApexBloodlinesResourceSharpStoneDesc,items,Item,false,false,"A fractured stone with a usable cutting edge."
ApexBloodlinesToolCrudeAxe,items,Item,false,false,Crude Axe
ApexBloodlinesToolCrudeAxeDesc,items,Item,false,false,"A primitive cutting tool bound with fibre rope."
ApexBloodlinesWeaponCrudePike,items,Item,false,false,Crude Pike
ApexBloodlinesWeaponCrudePikeDesc,items,Item,false,false,"A long branch tipped with sharpened stone."
ApexBloodlinesArmorBarkHelmet,items,Item,false,false,Bark Hood
ApexBloodlinesArmorBarkHelmetDesc,items,Item,false,false,"Layered bark protecting the head."
ApexBloodlinesArmorBarkOutfit,items,Item,false,false,Bark Outfit
ApexBloodlinesArmorBarkOutfitDesc,items,Item,false,false,"Overlapping bark panels protecting the body."
ApexBloodlinesArmorBarkGloves,items,Item,false,false,Bark Gloves
ApexBloodlinesArmorBarkGlovesDesc,items,Item,false,false,"Crude bark guards protecting the hands."
ApexBloodlinesArmorBarkBoots,items,Item,false,false,Bark Boots
ApexBloodlinesArmorBarkBootsDesc,items,Item,false,false,"Layered bark and fibre bindings protecting the feet."
ApexBloodlinesTransmission,items,Item,false,false,Encrypted Bloodlines Transmission
ApexBloodlinesTransmissionDesc,items,Item,false,false,"A fragmented transmission containing the final survival protocol."
quest_ApexBloodlines_01_name,quests,Quest,false,false,PROTOCOL 01 — AWAKENING
quest_ApexBloodlines_01_subtitle,quests,Quest,false,false,Gather Fibres Sticks and Stones
quest_ApexBloodlines_01_description,quests,Quest,false,false,"Consciousness returns in fragments. Gather plant fibres, sticks and small stones from the surrounding area."
quest_ApexBloodlines_02_name,quests,Quest,false,false,PROTOCOL 02 — WOVEN FOUNDATIONS
quest_ApexBloodlines_02_subtitle,quests,Quest,false,false,Process Plant Fibres
quest_ApexBloodlines_02_description,quests,Quest,false,false,"Twist gathered plant fibres into crude rope."
quest_ApexBloodlines_03_name,quests,Quest,false,false,PROTOCOL 03 — CRUDE INDUSTRY
quest_ApexBloodlines_03_subtitle,quests,Quest,false,false,Construct a Crude Axe
quest_ApexBloodlines_03_description,quests,Quest,false,false,"Combine rope, sticks and stone to construct a crude axe."
quest_ApexBloodlines_04_name,quests,Quest,false,false,PROTOCOL 04 — PRIMITIVE PROTECTION
quest_ApexBloodlines_04_subtitle,quests,Quest,false,false,Arm and Protect the Body
quest_ApexBloodlines_04_description,quests,Quest,false,false,"Harvest bark, branches and sharp stone. Construct a crude pike and a complete set of bark armour, then equip every piece."
quest_ApexBloodlines_05_name,quests,Quest,false,false,PROTOCOL 05 — ESTABLISH SHELTER
quest_ApexBloodlines_05_subtitle,quests,Quest,false,false,Create a Safe Location
quest_ApexBloodlines_05_description,quests,Quest,false,false,"Craft and place a bedroll and campfire to establish a temporary shelter."
quest_ApexBloodlines_06_name,quests,Quest,false,false,PROTOCOL 06 — FIRST BLOOD
quest_ApexBloodlines_06_subtitle,quests,Quest,false,false,Prove Combat Readiness
quest_ApexBloodlines_06_description,quests,Quest,false,false,"Eliminate five infected entities to demonstrate basic combat readiness."
quest_ApexBloodlines_07_name,quests,Quest,false,false,TRANSMISSION — PROTOCOL COMPLETE
quest_ApexBloodlines_07_subtitle,quests,Quest,false,false,ApexOrder Bloodlines
quest_ApexBloodlines_07_description,quests,Quest,false,false,"SURVIVAL PROTOCOL COMPLETE. External survivor coordinates have been recovered. Switching to local survivor protocols..."
